cohort,mode,n_lesions,q_hat,median_width_log,iqr25_width_log,iqr75_width_log,median_width_suv,iqr25_width_suv,iqr75_width_suv,p90_width_suv
autopet_i_test,naive,647,0.0912478029164576,2.015717710480488,1.5808046166109437,2.214224292616608,41.28789608896501,30.185536276419946,50.822342636687665,58.21942057670989
autopet_iii,naive,8768,0.0912478029164576,2.0469176457571696,1.6907280501374622,2.2166276920967944,41.006863960835574,29.193469351376045,50.70239580090677,58.376425547643244
hecktor,naive,1573,0.0912478029164576,1.9539208382953233,1.6411233368351479,2.1910526666121815,41.38136818471038,31.56375752575322,50.16584939881009,57.47967932476563
autopet_iii,wcp_image,8768,0.09103384569645812,2.0464897313171706,1.6903001356974636,2.2161997776567954,40.99562298710664,29.184393102142828,50.688554700866646,58.36072764830105
hecktor,wcp_image,1573,0.08298374033269762,1.9373927131278037,1.6245952116676279,2.1745245414446623,40.92604412501192,31.168453421039956,49.65039097012004,56.89965838237757
autopet_iii,percohort_recal,7229,0.3711584443744022,2.6066627618737463,2.24863430060922,2.7768543148040576,57.47314505938126,42.32845091176828,70.70429669529227,81.20716709404678
hecktor,percohort_recal,1274,0.3337575421464476,2.446882456441389,2.122715691113559,2.6760993776593534,56.05841098190195,43.963783962852204,67.49908197130836,77.00041814448649
