cohort,seed,n_holdout_lesions,n_holdout_patients,n_eval_lesions,q_hat_local,coverage,miss_pp,ci_low,ci_high,median_width_log,within_2pp_tolerance
autopet_iii,42,1539,67,7229,0.3711584443744022,0.9156176511274036,1.5617651127403542,0.9089720137233331,0.9219258115768159,2.6066627618737463,True
autopet_iii,1,1636,67,7132,0.3452882728581454,0.9081604038137969,0.8160403813796901,0.9012198249698816,0.9147651995586268,2.5541556270754846,True
autopet_iii,17,1957,67,6811,0.45903893994324707,0.9446483629422993,4.464836294229924,0.9389511788892553,0.9499609978544544,2.780556553701105,False
autopet_iii,99,2295,67,6473,0.3411566442314288,0.9077707399969103,0.7770739996910248,0.9004596812070215,0.91471195295372,2.5459979439833904,True
hecktor,42,299,135,1274,0.3337575421464476,0.9058084772370487,0.5808477237048693,0.8884266787374372,0.9212895806284757,2.446882456441389,True
hecktor,1,313,135,1260,0.27883309378854376,0.8873015873015873,-1.2698412698412764,0.868533369485284,0.9042396433487819,2.318397140035735,True
hecktor,17,315,135,1258,0.26977904473899794,0.8823529411764706,-1.764705882352946,0.8632521695188188,0.8996449796216155,2.3192045163350268,True
hecktor,99,317,135,1256,0.29744802738809945,0.8893312101910829,-1.0668789808917167,0.8706639944596372,0.9061523181208049,2.3619493308072608,True
